max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,std_x,std_y,std_z,skew_x,skew_y,skew_z,entropy_x,entropy_y,entropy_z,activity
-5.6475525,0.9808502,8.376953,-6.0057983,0.5619049,8.03418,-5.7994225518,0.75766186552,8.219036904,0.07296658129940786,0.07939140093885093,0.06038688149306758,-0.74279572900937,0.15645369924926464,-0.3153594987676821,-inf,-inf,-inf,0
-5.553528,0.86421204,8.5269165,-5.920105,0.33457947,8.069885,-5.776223452,0.6161226187800001,8.241479069999999,0.06359047574575152,0.1527824041918688,0.07404797468613915,0.7029703672710439,-0.2174901519542623,0.724103974217459,-inf,-inf,-inf,0
-5.5904236,0.6035614,8.540009,-5.88678,-0.11174011,8.023468,-5.7050384560000005,0.4316462393620001,8.311300098,0.04455241385359028,0.10440972703145177,0.07512908812199437,-0.5345235753889339,-3.150024849162048,-0.5339614013882965,-inf,-inf,-inf,0
-5.5202026,1.9472809,8.638794,-7.0448303,-0.84251404,7.149872,-6.3044873024,0.73676458767,7.7577733876,0.3626234580539801,0.7508349488747847,0.3737082244498759,0.5393189496326561,-0.9140602740792115,0.5342677616395348,-inf,-inf,-inf,0
-5.8855896,1.29982,8.067505,-6.7960815,0.92967224,7.279602,-6.4190902722,1.12547204372,7.6476240912,0.2624595411810627,0.07243045193397252,0.22618064415205372,0.4237749174511602,-0.22219972463177173,0.2417848040826943,-inf,-inf,-inf,0
-5.908203,1.2331696,8.178192,-6.1236267,0.8844452,7.8711243,-6.0162505444,1.0501404428599999,8.0124683142,0.03913822681350075,0.048500528225732926,0.04787568738279735,0.1110272720834498,0.26129601059197743,-0.039752759035644326,-inf,-inf,-inf,0
-5.939148,1.1379547,8.132965,-6.1367188,0.9011078,7.875885,-6.0380523647999995,1.0157631242999998,8.0008901992,0.03542576686307468,0.03849345109292414,0.0461170818503231,0.2792640622492774,0.22364764190338357,0.05466513054204422,-inf,-inf,-inf,0
-5.9308167,1.1177216,8.129395,-6.1271973,0.9106293,7.863983,-6.032946465799999,1.00303051894,8.006269861,0.030631915728969474,0.0333268850078251,0.04248886523927673,-0.02947624577721702,0.06785882910245655,-0.14015243044622788,-inf,-inf,-inf,0
-5.9093933,1.0939178,8.141296,-6.156952,0.9011078,7.8794556,-6.0276311068,0.9925283213000001,8.011713764,0.037807559124752185,0.03552445055935963,0.04761088743443147,-0.035098168145581234,-0.025062158548630507,-0.18327727539540667,-inf,-inf,-inf,0
-5.915344,1.0832062,8.147247,-6.118866,0.9011078,7.900879,-6.0213064522,0.9915142839800001,8.0159436706,0.03547091052507637,0.03245229166295696,0.04360705375827353,-0.07489184285294007,0.06738386074698346,0.00910548500055177,-inf,-inf,-inf,0
-5.9058228,1.0832062,8.136536,-6.112915,0.88920593,7.8544617,-6.020613772,0.994415954,8.0178169982,0.03420079227430817,0.031787704285146566,0.04275413913450646,0.19313979370660136,0.024249388381567403,-0.19589773515362566,-inf,-inf,-inf,0
-5.915344,1.0962982,8.129395,-6.1355286,0.8856354,7.8461304,-6.0262362126,0.9910905773800001,8.0108401468,0.037216758678671885,0.03569158370513785,0.04651901308466606,-0.12203891057555367,-0.1420804346938162,-0.07409518388113223,-inf,-inf,-inf,0
-5.95224,1.0677338,8.125824,-6.149811,0.9189606,7.850891,-6.044662654200001,0.9930282002799999,8.0025826372,0.03191043617089622,0.029580606114876448,0.045114141895701114,-0.16872360131273365,-0.06392816360772476,-0.12329503148588111,-inf,-inf,-inf,0
-5.939148,1.101059,8.115112,-6.126007,0.9082489,7.8342285,-6.044945920600001,0.99121911608,7.9979599508,0.030720814620447057,0.03194625433432652,0.04404052749536565,0.05126972132711059,0.11065856922950285,-0.03869213015840308,-inf,-inf,-inf,0
-5.95224,1.0855865,8.168671,-6.164093,0.91181946,7.868744,-6.045586244599999,0.99736047422,7.9968792842,0.032454092794149556,0.03162579866111661,0.04480767199310683,-0.12137472426430178,0.09255410144011074,0.026810738570002483,-inf,-inf,-inf,0
-5.9046326,1.0736847,8.125824,-6.1402893,0.9094391,7.868744,-6.0495138532,0.9955204472400001,8.002111342000001,0.03252586422925619,0.028387055590259187,0.0452934698656965,0.23911589214332354,-0.12300238202111355,-0.2497478062022176,-inf,-inf,-inf,0
-5.907013,1.0903473,8.134155,-6.1295776,0.883255,7.855652,-6.032527533400001,0.99995031848,8.0104640456,0.03608261259206799,0.037557732587915935,0.047554620012911476,-0.0014572575581873876,-0.23934601554234652,-0.1887614977427702,-inf,-inf,-inf,0
-5.920105,1.101059,8.144867,-6.14624,0.9165802,7.869934,-6.0378904985999995,0.9998098770800001,8.0074290984,0.03493243866528667,0.03278059621535583,0.045002276556047646,-0.11885755742524648,0.030122090386944654,-0.08113428811470268,-inf,-inf,-inf,0
-5.9546204,1.0998688,8.130585,-6.139099,0.91181946,7.8854065,-6.0486378766,0.9991243300600001,8.0029135176,0.031484365055802384,0.030067695142018337,0.04231240819000182,0.13063093609414106,0.174270216090563,0.2223997957836356,-inf,-inf,-inf,0
-5.9308167,1.0903473,8.152008,-6.1236267,0.88682556,7.8794556,-6.0389354772,0.98775567678,7.999423881799999,0.035173260009843256,0.03132071846274432,0.04356737776235852,-0.02578752080738078,-0.15040223348957305,0.15925150310383415,-inf,-inf,-inf,0
-5.959381,1.0713043,8.175812,-6.1605225,0.86302185,7.868744,-6.0581760272,0.9818261714400001,7.995203496799999,0.03868077866291497,0.033951295467519,0.05186303976949741,-0.048115180129298975,-0.20165396245650175,0.28564310235948603,-inf,-inf,-inf,0
-5.9546204,1.0736847,8.137726,-6.280731,0.7451935,7.811615,-6.0961953136,0.9523786003800001,7.964049193799999,0.05080318930349724,0.06140508491905994,0.05597899277521613,-0.4697669197614949,-0.9022822178368711,0.05577788523800727,-inf,-inf,-inf,0
-5.8974915,0.9891815,8.403137,-6.3521423,0.49287415,7.7318726,-6.1839286466,0.7163767082600001,7.916760733199999,0.0904158046455818,0.10265273458831209,0.0868861868542823,0.8390141605930977,0.060975950060932,0.6689890310000259,-inf,-inf,-inf,0
-5.708252,0.7928009,8.384094,-6.2724,0.18223572,7.6235657,-5.9503404524,0.42165106154,8.1271236242,0.1140023848204081,0.1418950617285573,0.10335368334210655,-0.772388438546619,0.6558339843239698,-0.3013882174993682,-inf,-inf,-inf,0
-5.703491,0.5547638,8.338867,-6.0129395,0.1917572,8.03537,-5.890978763200001,0.36427459694000003,8.179615603999999,0.05469631487898511,0.06528342427107191,0.05809418655226344,0.20609236902545658,0.24598771664827906,0.11897862228047755,-inf,-inf,-inf,0
-5.6035156,0.47621155,8.428131,-6.08197,0.22151184,8.03894,-5.868829406999999,0.3523084722,8.195356998,0.09359326159705222,0.04299350179246413,0.07342969953350614,0.777449475799795,0.1617746125012059,0.587808057316437,-inf,-inf,-inf,0
-5.509491,0.50239563,8.457886,-5.811798,0.25483704,8.147247,-5.6983567502,0.39208447308,8.323449528000001,0.039248703066710626,0.04497043505188562,0.05251516259577056,0.20635759582240706,0.022442548904256863,-0.10427636742430454,-inf,-inf,-inf,0
-5.689209,0.5476227,8.384094,-5.9296265,0.28102112,8.109161,-5.811326781799999,0.41011578413999994,8.233909470999999,0.04594139309549689,0.046139747363339756,0.04791278248539377,-0.21978535765419333,-0.07442280254721288,0.022489754715320796,-inf,-inf,-inf,0
-5.690399,0.5071564,8.407898,-5.9879456,0.21199036,8.073456,-5.8059281006,0.35629083256,8.244973432,0.04973544053002587,0.056455952642612946,0.05549550076739896,-0.3755436122964249,0.06571930368760738,-0.08209067830355814,-inf,-inf,-inf,0
